id,level,phase,epic_id,title,work_type,complexity,deploy_surface,depends_on,gate,critical_path,definition_of_done
V0-T14,task,V0,V0-E4,Propensity floor per comparable action,ENG,XS,edge-fn,V0-T11;V0-T13,,,"Floor enforced at the sampling point; inert at fraction 1.0 but exercised by a unit test at fraction 0.05"
V0-T15,task,V0,V0-E4,CI invariant: the exploration fraction may not be set to 0,ENG,S,ci,V0-T13,,,"A config setting the fraction to 0 fails CI with a message naming the risk it protects"
V1-E1,epic,V1,,Extract the verification core,ENG,L,edge-fn,,,,"L3 pipeline lives in _shared and executes identically"
V1-T16,task,V1,V1-E1,Move solvers / judge / OCR check / normalisation / meta assembly to _shared/verification.core.js,ENG,M,edge-fn,V0-T15,,,"Extraction is mechanical; no logic edited in the same commit"
V1-T17,task,V1,V1-E1,Sync + drift validator for the new shared module,ENG,S,ci,V1-T16,,,"CI fails on drift, in the sync-taxonomy.mjs / validate-taxonomy.mjs idiom"
V1-T18,task,V1,V1-E1,Suite executing the extracted module against captured pre-refactor fixtures,ENG,M,ci,V1-T16,,,"Byte-equal verification_meta for >=200 captured historical inputs"
V1-T19,task,V1,V1-E1,Deploy via DEPLOY.md Path B; record post-deploy bundle file list,OPS,S,edge-fn,V1-T18,,,"get_edge_function shows every bundle file; smoke test per DEPLOY.md 6 green; both recorded in the release report"
V1-E2,epic,V1,,TCB perimeter,ENG,S,ci,,,,"Trusted core has a published line budget and a review procedure"
V1-T20,task,V1,V1-E2,Declare the TCB directory and its line budget; gate in CI,ENG,S,ci,V1-T16,,,"Budget published as a number; CI fails when exceeded"
V1-T21,task,V1,V1-E2,TCB hand-review checklist,ENG,XS,docs,V1-T20,,,"Checklist names the specific traps: sound-vs-unsound predicate pairs, scores leaking out of a Verdict, case-lists standing in for structure"
V1-E3,epic,V1,,Background budget,MEASURE,S,none,,,,"waitUntil headroom is a known number"
V1-T22,task,V1,V1-E3,Measure waitUntil CPU and wall headroom at current pipeline depth,MEASURE,S,none,V1-T19,,,"Headroom published with P50 and P95, plus the depth at which the window would be exceeded"
V2-E1,epic,V2,,Legal gate,OPS,L,none,,gate,critical-path,"Counsel opinion in hand before any item is ingested"
V2-T23,task,V2,V2-E1,"GATE - legal review of item provenance and student-data retention, before first ingestion",OPS,L,none,,gate,critical-path,"Written counsel opinion covering clean-room authoring requirements, COPPA posture on uploaded photos, and retention limits on traces"
V2-T24,task,V2,V2-E1,Written positioning decision: general-audience test prep vs school-purposed K-12,OPS,M,none,V2-T23,,,"Decision recorded in writing, with the regime it selects (SOPIPA in / out) named explicitly"
V2-E2,epic,V2,,Label store,ENG,M,migration,,,critical-path,"Versioned, frozen gold store with provenance"
V2-T25,task,V2,V2-E2,"labels schema - versioned gold store, per-item provenance, adjudicator ids, consensus flag, label_version",ENG,M,migration,V2-T23,,critical-path,"Label versions frozen on publish; a write to a published version is rejected by constraint"
V2-T26,task,V2,V2-E2,Cross-version replay guard,ENG,S,ci,V2-T25,,,"Any comparison spanning a label_version boundary fails loudly rather than returning a number"
V2-E3,epic,V2,,Human adjudication loop,ENG,L,frontend,,,critical-path,"A real human loop with measured throughput and cost"
V2-T27,task,V2,V2-E3,"Adjudication queue in admin.html - route, claim, resolve, double-mark",ENG,L,frontend,V2-T25;V2-T35,,critical-path,"Two adjudicators can independently mark the same item and the disagreement is visible"
V2-T28,task,V2,V2-E3,Register per-adjudication unit cost in cost_engine,ENG,S,migration,V2-T27,,,"Human adjudication appears on the economics dashboard beside model spend, priced per resolution"
V2-T29,task,V2,V2-E3,"Path from a resolution into the label store, with provenance",ENG,M,edge-fn,V2-T27,,,"Every resolution produces exactly one label row carrying its adjudicator ids and date"
V2-E4,epic,V2,,First gold tranche and the two numbers,MEASURE,XL,none,,,critical-path,"mu and the checker false-negative rate published"
V2-T30,task,V2,V2-E4,Traffic query: rank all 33 subtopics by volume,MEASURE,S,none,,,critical-path,"Ranking published. Decides V4 scope and must precede V4-T49"
V2-T31,task,V2,V2-E4,Author + double-mark 300-500 clean-room items,OPS,XL,none,V2-T23;V2-T27,,critical-path,"SPLIT RULE: one task per ~100-item tranche per subtopic in V2-T30 rank order. Done per tranche when double-marked with provenance"
V2-T32,task,V2,V2-E4,"Measure mu - base error rate of the current candidate stream, per lesson family",MEASURE,M,none,V2-T31,,critical-path,"mu published per family with an interval and a method name"
V2-T33,task,V2,V2-E4,Measure the checker's own false-negative rate on the gold set,MEASURE,M,none,V2-T31,,critical-path,"Rate published. A high value invalidates every other risk number in the programme and halts V5"
V2-T34,task,V2,V2-E4,Measure expert non-consensus rate on the hard tail,MEASURE,S,none,V2-T31,,,"Rate published; compared against the ~30% v2 budgets for"
V2-E5,epic,V2,,Establish whether T4 exists,OPS,XS,none,,,,"Human adjudication is known to be an integration or a build"
V2-T35,task,V2,V2-E5,Determine whether human tutor support is a staffed routable queue or a claim in trust.html,OPS,XS,none,,,,"Answer recorded. Integration => V2-T27 shrinks to M. Build => it stays L and the SLA is a new task"
V3-E1,epic,V3,,The kernel,ENG,M,ci,,,,"Dependency-free exact rational arithmetic under a published line budget"
V3-T36,task,V3,V3-E1,"_shared/exact.core.js - BigInt rationals: construct, normalise, four operations, compare, exact equality",ENG,M,ci,V1-T20,,,"Zero dependencies; identical bytes execute in Deno, Node and the browser"
V3-T37,task,V3,V3-E1,Property tests + line-budget assertion,ENG,S,ci,V3-T36,,,"Properties cover associativity, normalisation idempotence, and exact zero-testing; budget gate green"
V3-T38,task,V3,V3-E1,Publish the TCB line count; record the hand review,ENG,XS,docs,V3-T37,,,"Line count published; review signed off line-by-line and recorded in the release report"
V3-E2,epic,V3,,Upgrade the existing checker,ENG,M,edge-fn,,,,"answersEquivalent moves from NUMERIC_TOLERANCE to EXACT"
V3-T39,task,V3,V3-E2,parseNumericAnswer / answersEquivalent over exact rationals - NUMERIC_TOLERANCE to EXACT,ENG,S,edge-fn,V3-T36,,,"No float division anywhere in the comparison path; the fail-closed contract preserved verbatim"
V3-T40,task,V3,V3-E2,Differential test vs legacy over >=10000 historical solver-answer pairs,MEASURE,M,none,V3-T39,,,"Every divergence classified by hand. Divergences may only be 0->1; any 1->0 is a latent production bug and is this task's most valuable output"
V3-E3,epic,V3,,The cheap checkers,ENG,M,ci,,,,"Option-set, answer-form and exact geometry checkers exist at EXACT"
V3-T41,task,V3,V3-E3,Option-set membership; completeness and pairwise distinctness,ENG,S,ci,V3-T36,,,"Distinctness decided over exact rationals; result is a precondition witness for exhaustion"
V3-T42,task,V3,V3-E3,"Answer-form / significant-figure / units as a surface-form family, separate from value equality",ENG,S,ci,V3-T36,,,"A malformed answer is distinguishable from a wrong answer at the interface - the weak/strong certification split of v2 Law 1(b)"
V3-T43,task,V3,V3-E3,"Exact geometric predicates over Q, squared-distance discipline, exact constructions",ENG,M,ci,V3-T36,,,"Perpendicularity as a zero dot product, equidistance as equal squared distances; no constructed point is ever approximate"
V3-E4,epic,V3,,Soundness lattice at the interface,ENG,S,ci,,,,"A Verdict never carries a score"
V3-T44,task,V3,V3-E4,"Verdict type: PROVED/REFUTED/UNDETERMINED + soundness_class + witness. Never a score",ENG,S,ci,V3-T41,,,"Only EXACT and MODEL_OPINION implemented; the enum is extensible without touching call sites"
V3-T45,task,V3,V3-E4,Interface test: a checker that returns a score fails validation,ENG,XS,ci,V3-T44,,,"Test fails if any checker's return type admits a numeric confidence"
V4-E1,epic,V4,,Canonicaliser,ENG,L,ci,,,,"Canonical form is stable enough to hash and to cache on"
V4-T46,task,V4,V4-E1,"_shared/canonical.core.js - canonical AST, alpha-renaming, deterministic serialisation, sorted option set, template slots",ENG,L,ci,V3-T44,,,"Designed for hashing: the same item serialises identically across processes and runs"
V4-T47,task,V4,V4-E1,Emit canonical_hash and template_hash,ENG,S,edge-fn,V4-T46,,,"Both hashes on every decision row; template hash ignores numeric literals"
V4-T48,task,V4,V4-E1,Hash stability measurement,MEASURE,S,none,V4-T47,,,"Identical items hash identically across >=3 independent transcription runs; collision and instability rates published"
V4-E2,epic,V4,,The IR,ENG,XL,ci,,,critical-path,"One lesson family formalised with a closed predicate vocabulary"
V4-T49,task,V4,V4-E2,"Fixed closed predicate vocabulary + typed sorts, for the family selected by V2-T30",ENG,L,ci,V4-T46;V2-T30,,critical-path,"Vocabulary is closed: an unrecognised identifier is a parse failure, never a passthrough"
V4-T50,task,V4,V4-E2,Dependency graph + assorter map per assertion kind,ENG,M,ci,V4-T49,,,"Each assertion kind supplies a bounded non-negative assorter; the generic test is not modified to add one"
V4-T51,task,V4,V4-E2,exhaustion assertion kind + witness validation,ENG,M,ci,V4-T50;V3-T41,,,"Settles at EXACT from K-1 refutations plus a completeness/distinctness witness"
V4-T52,task,V4,V4-E2,Intensionality check inside the trusted checker,ENG,M,ci,V4-T50,,,"Verdict.intensionality_checked is the checker's finding; a producer's claimed_intensional cannot influence it"
V4-E3,epic,V4,,T2 and the first real decorrelation,ENG,M,edge-fn,,,,"Two genuinely different producers exist and rho is known"
V4-T53,task,V4,V4-E3,T2 code-execution path: an IR expression as witness evaluated by the exact kernel,ENG,M,edge-fn,V4-T49;V3-T36,,,"Solver B is no longer the same model at a different temperature; the witness is executable and checked"
V4-T54,task,V4,V4-E3,Measure rho for the selected family,MEASURE,M,none,V4-T53;V2-T31,,,"rho published per family. Determines whether conditional filtration (R1) is urgent or can wait"
V4-E4,epic,V4,,Faithfulness,MEASURE,L,none,,,critical-path,"Parse rate and human-judged faithfulness published for one family"
V4-T55,task,V4,V4-E4,Back-translation check as a Risk Model feature,ENG,S,edge-fn,V4-T49,,,"Contributes a feature; gates nothing; reaches the ledger only through the Risk Model's single Bayes factor"
V4-T56,task,V4,V4-E4,Measure IR parse rate on the selected family,MEASURE,M,none,V4-T49,,critical-path,"Rate published on live shadow traffic. Gate: >=75%"
V4-T57,task,V4,V4-E4,Measure human-judged IR faithfulness on the selected family,MEASURE,L,none,V4-T49;V2-T27,,critical-path,"Rate published with an interval. The number the entire CERTIFIED tier's risk claim rests on"
V4-E5,epic,V4,,The gate,OPS,XS,none,,gate,critical-path,"Family 1 passed or the IR narrows"
V4-T58,task,V4,V4-E5,GATE - family-1 review,OPS,XS,none,V4-T56;V4-T57,gate,critical-path,"Pass => family 2 is scoped and the general parts of the vocabulary are identified. Fail => narrow the IR; do not add a family"
V5-E1,epic,V5,,verification_ledger - append-only e-process,ENG,L,migration,V4-T58,,,"Not decomposed until V2-T32 and V2-T33 land"
V5-E2,epic,V5,,Generic bounded-mean betting test over the assorter reduction,ENG,L,ci,V5-E1;V4-T50,,,"Not decomposed until V2-T32 and V2-T33 land"
V5-E3,epic,V5,,REFUTED short-circuit,ENG,S,edge-fn,V5-E1,,,"Not decomposed until V2-T32 and V2-T33 land"
V5-E4,epic,V5,,"alpha_ledger derived from r, measured mu and coverage - per segment, versioned",ENG,M,migration,V2-T32,,,"Not decomposed until V2-T32 and V2-T33 land"
V5-E5,epic,V5,,Risk Model v1 + the calibrated Bayes-factor bridge,ENG,L,ci,V2-T31,,,"Not decomposed until V2-T32 and V2-T33 land"
V5-E6,epic,V5,,Truth Engine to decision log only - full output alphabet computed nothing student-visible,ENG,L,edge-fn,V5-E2;V5-E4,,,"Not decomposed until V2-T32 and V2-T33 land"
V5-E7,epic,V5,,Head-to-head: ledger vs verification_quality_score on the gold set,MEASURE,M,none,V5-E6,,,"How verification_quality_score gets retired - by evidence, not by fiat"
V6-E1,epic,V6,,Exact-hash tier,ENG,M,migration,V4-T47,,,"Not decomposed until V4-T48 lands"
V6-E2,epic,V6,,Template tier - same structure new numbers re-run the deterministic evaluator only,ENG,L,edge-fn,V6-E1,,,"Not decomposed until V4-T48 lands"
V6-E3,epic,V6,,Near-duplicate tier with mandatory deterministic confirmation before serving,ENG,L,edge-fn,V6-E2,,,"Not decomposed until V4-T48 lands"
V6-E4,epic,V6,,Offline Bank pipeline on the Batch API,ENG,XL,none,V6-E1;V2-T25,,,"XL - must be split before starting"
V6-E5,epic,V6,,Invalidation on label_version and tcb_revision,ENG,M,migration,V6-E1,,,"A cached answer under a later-invalidated TCB revision is a systematic repeating error"
V7-E1,epic,V7,,Knowledge graph + knowledge-base entries,ENG,M,docs,V5-E6,,,"First per CLAUDE.md - nothing skips the pipeline"
V7-E2,epic,V7,,Stratified public claim on trust.html / evidence.html with intervals,ENG,M,frontend,V7-E1,,,"Not decomposed until V4-T57 has an interval"
V7-E3,epic,V7,,"Badge in chat.html, with the semantic gap disclosed",ENG,M,frontend,V7-E2,,,"Not decomposed until V4-T57 has an interval"
V7-E4,epic,V7,,CI: coverage and risk may not be released separately,ENG,S,ci,V7-E3,,,"The pairing rule made unavoidable"
V8-E1,epic,V8,,ALPHA-style sequential test over the forced-exploration stream,ENG,L,none,V0-T13;V5-E1,,,"Not decomposed until r is set"
V8-E2,epic,V8,,Comparison assorter against the logged machine verdict,ENG,M,none,V8-E1;V0-T08,,,"Not decomposed until r is set"
V8-E3,epic,V8,,Per-lesson margin x = r - e_hat on the AI Monitor,ENG,M,frontend,V8-E2,,,"Not decomposed until r is set"
V8-E4,epic,V8,,Escalation branch - implemented and exercised in anger,ENG,L,edge-fn,V8-E3,,,"The deliverable. A chosen lesson routed to full human verification and conservative traffic; the drill recorded"
R1,epic,RESEARCH,,Conditional filtration,RESEARCH,XL,none,V4-T54,,,"Start gate: V4-T54 shows high rho on Si Math traffic. If rho is low R1 is not started"
R2,epic,RESEARCH,,Ball arithmetic + certification service tier,RESEARCH,XL,none,,,,"Start gate: a checker genuinely needs refutation-by-enclosure. Never started if exact rationals cover the corpus"
R3,epic,RESEARCH,,Legibility Contract - decoupled translator + faithfulness verifier,RESEARCH,XL,none,V5-E6,,,"Start gate: V5 shipped and certificates exist to translate from"
R4,epic,RESEARCH,,"BMDP decision policy, offline lambda",RESEARCH,XL,none,V8-E2,,,"Start gate: propensity log has usable OPE diagnostics (ESS, inner-CI)"
R5,epic,RESEARCH,,Diagram understanding,RESEARCH,XL,none,,,,"Watch item - no start gate. Interim policy stands until published parse rates clear ~95%"
R6,epic,RESEARCH,,Multidimensional IRT,RESEARCH,XL,none,,,,"Trigger: taxonomy exceeds ~150 lessons OR hierarchical Beta-Binomial is measurably mis-ranking solvers. If neither fires IRT is never built"
